,Accuracy
0,62.67942583732058
1,62.67942583732058
2,62.67942583732058
3,62.20095693779905
4,62.20095693779905
5,62.67942583732058
6,62.20095693779905
7,62.20095693779905
8,62.67942583732058
9,62.67942583732058
10,62.67942583732058
11,62.67942583732058
12,62.67942583732058
13,62.67942583732058
14,62.67942583732058
15,62.67942583732058
16,62.20095693779905
17,62.67942583732058
18,62.67942583732058
19,62.20095693779905
20,62.67942583732058
21,62.67942583732058
22,62.67942583732058
23,62.67942583732058
24,62.67942583732058
25,62.20095693779905
26,62.67942583732058
27,62.20095693779905
28,62.20095693779905
29,62.67942583732058
30,62.67942583732058
31,62.67942583732058
32,62.20095693779905
33,62.67942583732058
34,62.67942583732058
35,62.67942583732058
36,62.20095693779905
37,62.67942583732058
38,62.67942583732058
39,62.20095693779905
40,62.67942583732058
41,62.67942583732058
42,62.67942583732058
43,62.20095693779905
44,62.67942583732058
45,62.67942583732058
46,62.67942583732058
47,62.67942583732058
48,62.20095693779905
49,62.67942583732058
50,62.67942583732058
51,62.67942583732058
52,62.20095693779905
53,62.67942583732058
54,62.67942583732058
55,62.67942583732058
56,62.67942583732058
57,62.67942583732058
58,62.20095693779905
59,62.67942583732058
60,62.67942583732058
61,62.67942583732058
62,62.67942583732058
63,62.67942583732058
64,62.20095693779905
65,62.67942583732058
66,62.20095693779905
67,62.67942583732058
68,62.67942583732058
69,62.20095693779905
70,62.67942583732058
71,62.67942583732058
72,62.67942583732058
73,62.20095693779905
74,62.20095693779905
75,62.67942583732058
76,62.67942583732058
77,62.67942583732058
78,62.20095693779905
79,62.20095693779905
80,62.67942583732058
81,62.67942583732058
82,62.67942583732058
83,62.67942583732058
84,62.67942583732058
85,62.20095693779905
86,62.67942583732058
87,62.20095693779905
88,62.20095693779905
89,62.67942583732058
90,62.67942583732058
91,62.20095693779905
92,62.67942583732058
93,62.67942583732058
94,62.67942583732058
95,62.67942583732058
96,62.67942583732058
97,62.20095693779905
98,62.20095693779905
99,62.20095693779905
